idProduits,titres,prix,url
1,"Eaux, Boissons","4,90DH",https://marjane.ma/courses-en-ligne/6-eaux-boissons/25-eaux-sirops/101-eaux-plates/41083-ciel-eau-de-table-15l
2,"Ciel Eau de table 1,5L","25,00DH",https://marjane.ma/courses-en-ligne/6-eaux-boissons/25-eaux-sirops/101-eaux-plates/8006-sidi-ali-eau-minerale-6x15l
3,"Sidi Ali Eau minérale 6x1,5L","10,50DH",https://marjane.ma/courses-en-ligne/6-eaux-boissons/25-eaux-sirops/101-eaux-plates/1260-ain-atlas-eau-minerale-5l
4,Aïn Atlas Eau minérale 5L,"27,95DH",https://marjane.ma/courses-en-ligne/6-eaux-boissons/25-eaux-sirops/101-eaux-plates/8007-sidi-ali-eau-minerale-12x50cl
5,Sidi Ali Eau minérale 12x50cl,"9,95DH",https://marjane.ma/courses-en-ligne/6-eaux-boissons/25-eaux-sirops/101-eaux-plates/41934-vitalya-eau-de-table-5l
6,Vitalya Eau de table 5L,"5,50DH",https://marjane.ma/courses-en-ligne/6-eaux-boissons/25-eaux-sirops/100-eaux-gazeuses/4094-ain-saiss-eau-minerale-gazeuse-1l
7,Aïn Saïss Eau minérale gazeuse 1L,"6,20DH",https://marjane.ma/courses-en-ligne/6-eaux-boissons/25-eaux-sirops/99-eaux-aromatisees/2427-ain-saiss-eau-minerale-aromatisee-citron-citron-vert-15l
8,"Aïn Saïss Eau minérale aromatisée citron-citron vert 1,5L","9,95DH",https://marjane.ma/courses-en-ligne/6-eaux-boissons/25-eaux-sirops/101-eaux-plates/32014-ghayt-eau-de-table-6l
9,Ghayt Eau de table 6L,"3,95DH",https://marjane.ma/courses-en-ligne/6-eaux-boissons/25-eaux-sirops/101-eaux-plates/46983-ghayt-eau-de-table-15l
10,"Ghayt Eau de table 1,5L","3,60DH",https://marjane.ma/courses-en-ligne/6-eaux-boissons/25-eaux-sirops/101-eaux-plates/3892-bahia-eau-de-table-15l
11,"Bahia Eau de table 1,5L",N/A,N/A
12,©2026 Marjane - Tous droits réservés - Mentions légales - Données personnelles,N/A,N/A
